,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,
460,0,0,0,0,0,0,0,1,1,2,1,ikigai
461,0,2,0,0,3,0,1,4,0,5,5,ikigai
462,0,1,0,0,2,0,0,3,0,4,4,ikigai
463,0,1,0,0,1,0,0,1,0,2,2,ikigai
464,0,2,0,0,3,0,1,3,0,5,5,ikigai
465,0,0,0,0,0,0,0,0,0,0,0,ikigai
466,0,0,0,0,1,0,0,2,1,3,2,ikigai
467,0,0,0,0,0,0,0,0,0,0,0,ikigai
468,0,1,0,0,2,0,1,1,0,5,5,ikigai
469,0,0,0,0,1,0,0,1,0,2,2,ikigai
470,0,2,0,0,2,0,1,0,0,3,3,ikigai
471,1,0,1,0,1,1,0,1,1,1,0,ikigai
472,1,2,0,0,3,0,2,3,0,4,4,ikigai
473,0,1,0,0,0,0,0,0,0,2,2,ikigai
474,0,0,0,0,1,0,0,1,0,4,4,ikigai
475,0,2,0,0,1,0,0,2,0,4,4,ikigai
