"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"1953",0,2,1,0,2,2,2,2,0,4,4
"1954",0,0,0,0,0,0,0,0,0,0,0
"1955",0,2,0,0,1,0,0,1,1,3,2
"1956",0,0,0,0,0,0,0,1,0,1,1
"1957",0,1,0,0,0,0,0,0,0,1,1
"1958",0,1,0,0,0,0,0,1,0,1,1
"1959",0,2,0,0,2,1,1,2,1,2,1
"1960",0,0,0,0,0,0,0,1,0,0,0
"1961",0,1,1,0,2,0,0,2,1,2,1
"1962",0,1,0,0,1,0,0,3,0,4,4
"1963",0,2,0,0,2,0,1,2,0,2,2
"1964",0,0,0,1,1,0,0,1,0,3,3
"1965",0,1,0,0,0,0,0,0,0,0,0
"1966",0,0,0,0,1,0,0,1,0,1,1
"1967",0,1,0,0,1,0,1,1,0,2,2
"1968",0,0,0,0,0,0,0,0,0,0,0
"1969",0,0,0,0,2,0,0,1,0,2,2
"1970",0,1,0,0,0,0,0,1,0,1,1
"1971",0,1,0,0,1,0,1,2,0,3,3
"1972",2,2,2,1,1,0,0,1,2,1,-1
"1973",0,1,0,0,2,1,0,2,1,3,2
"1974",0,0,0,1,2,0,0,2,1,2,1
"1975",0,1,0,0,1,0,0,1,0,4,4
"1976",0,0,0,0,0,0,0,0,1,2,1
"1977",0,0,0,0,0,0,0,0,0,0,0
"1978",0,1,0,1,1,0,1,0,1,1,0
"1979",0,4,0,0,3,1,3,2,0,5,5
"1980",0,2,0,0,2,1,1,2,0,4,4
"1981",0,0,0,0,0,0,0,0,0,0,0
"1982",0,0,0,0,0,0,0,3,0,4,4
"1983",0,0,0,0,0,0,0,0,0,0,0
"1984",0,1,0,0,1,1,1,1,0,1,1
"1985",0,1,0,0,0,0,0,1,1,3,2
"1986",0,0,0,0,0,0,0,0,0,1,1
"1987",0,3,0,0,2,0,1,2,0,3,3
"1988",0,0,0,0,1,0,0,1,0,1,1
"1989",0,1,0,0,2,0,1,4,0,4,4
"1990",0,0,0,0,0,0,0,1,0,2,2
"1991",0,0,0,0,0,0,0,1,0,1,1
"1992",0,3,0,0,3,0,3,1,0,3,3
"1993",0,1,0,0,1,0,1,1,0,2,2
"1994",0,0,0,0,0,0,0,0,0,0,0
"1995",0,0,0,0,0,0,0,0,0,0,0
"1996",0,0,0,0,0,0,0,0,0,0,0
"1997",0,1,0,0,1,0,0,2,0,3,3
"1998",0,1,0,0,2,0,2,2,1,3,2
"1999",1,3,1,2,0,1,0,1,3,2,-1
"2000",0,0,0,0,0,0,0,0,0,1,1
"2001",0,1,0,0,1,0,1,1,0,1,1
"2002",0,0,0,1,0,0,0,0,1,0,-1
"2003",0,0,0,0,1,0,0,2,0,5,5
"2004",0,1,0,0,1,1,1,2,0,4,4
"2005",0,2,0,0,2,0,1,2,0,3,3
"2006",0,2,0,0,2,0,1,2,0,2,2
"2007",0,1,0,0,2,0,1,1,0,2,2
"2008",0,1,0,0,1,0,1,1,0,1,1
"2009",0,2,0,1,2,0,2,1,1,3,2
"2010",0,0,0,0,0,0,0,1,0,0,0
"2011",0,0,0,0,0,0,0,1,0,1,1
"2012",0,1,0,0,1,0,0,2,0,2,2
"2013",0,0,0,0,0,0,0,0,0,2,2
"2014",0,0,0,0,0,0,0,0,0,0,0
"2015",0,0,0,0,0,0,0,0,0,1,1
"2016",0,0,0,0,0,0,0,1,0,1,1
"2017",0,0,0,0,0,0,0,0,0,1,1
"2018",0,0,0,0,0,0,0,0,0,0,0
"2019",0,3,0,0,2,0,0,4,0,5,5
"2020",0,1,0,0,2,0,2,2,1,4,3
"2021",0,1,0,0,0,0,0,0,0,5,5
"2022",0,1,0,0,1,0,1,1,0,2,2
"2023",0,1,0,0,2,0,0,2,0,4,4
"2024",0,3,0,0,3,0,0,3,0,5,5
"2025",0,0,0,0,0,0,0,0,0,1,1
"2026",0,0,0,0,1,0,0,1,0,2,2
"2027",0,2,2,1,3,2,1,2,1,8,7
"2028",0,0,0,0,1,0,0,0,0,1,1
"2029",0,1,0,0,0,0,0,0,0,0,0
"2030",0,2,0,0,2,0,1,3,0,3,3
"2031",0,1,0,0,0,0,0,0,0,0,0
"2032",0,1,0,0,1,1,1,1,0,1,1
